OnnettomuusID;Tienpitäjä;Tieosoite;Ajorata;Tie;Osa;Etaisyys;x-koordinaatti;y-koordinaatti;ELY-keskus;Maakunta;Kunta;Katuosoite;Vuosi;Kuukausi;Onnettomyystyyppi;Onnettomuustyyppi_nro;Vakavuus;Osallisten lkm;Onnettomuusluokka;Liikennevalot;Raskaan liikenteen onnettomuus;Tietyö;Onnettomuuspaikka;Liittymäjärjestelyt;Viikonpäivä;Pinta;Valoisuus;Lämpötila?;Sää;Nopeusrajoitus;Verkollinen asema;Päällyste;Talvihoitoluokitus;Toiminnallinen luokka;Rautatie;Taajama;KVL;KVL raskas;Näkemäprosentti yli 150;Näkemäprosentti yli 300;Näkemäprosentti yli 450;Näkemän pituus
617371;Kunta;;;;;;386926;6674272;Uudenmaan ELY;Uusimaa;Helsinki;DALLAPÈNPUISTO;2022;9;muu jalankulkuonnettomuus suojatien ulkopuolella;79;Loukkaantumiseen johtanut;2;jalankulkijaonnettomuus;;false;false;kävely- ja pyörätie;linjaonnettomuus;su;paljas, kuiva;päivänvalo;15;kirkas;30;;kestopäällyste;;;Ei tasoristeystä;true;;;;;;
617372;Väylävirasto;711/2/3569;0;711;2;3569;322092;6980444;Etelä-Pohjanmaan ELY;Etelä-Pohjanmaa;Kuortane;ALAJÄRVENTIE;2022;9;muu tieltä suistuminen;89;Ei henkilövahinkoja;1;yksittäisonnettomuus;;false;false;ajorata;linjaonnettomuus;su;;päivänvalo;10;pilvipouta;80;;kestopäällyste;Ic;Seututie;Ei tasoristeystä;false;1 067;149;91;41;1;
617374;Väylävirasto;2591/2/1759;0;2591;2;1759;274259;6831005;Pirkanmaan ELY;Pirkanmaa;Sastamala;PUTAJANTIE PAJUNIEMENTIE RISTEYS;2022;9;muu risteämisonnettomuus, kääntyminen;59;Loukkaantumiseen johtanut;2;mopedionnettomuus;;false;false;ajorata;kärkikolmio;la;paljas, kuiva;päivänvalo;12;kirkas;60;;kestopäällyste;II;Yhdystie;Ei tasoristeystä;false;557;40;76;26;3;
617375;Väylävirasto;4/360/1578;0;4;360;1578;431807;7178616;Pohjois-Pohjanmaan ELY;Pohjois-Pohjanmaa;Tyrnävä;OULUNTIE;2022;9;kohtaaminen suoralla;20;Kuolemaan johtanut;2;kohtaamisonnettomuus;;true;false;ajorata;linjaonnettomuus;su;paljas, kuiva;päivänvalo;11;kirkas;100;;kestopäällyste;Is;Valtatie;Ei tasoristeystä;false;;;100;100;91;
617376;Kunta;;;;;;239919;6711694;Varsinais-Suomen ELY;Varsinais-Suomi;Turku;ANINKAISTENKATU 2;2022;9;peräänajo jarruttavaan ajoneuvoon;6;Loukkaantumiseen johtanut;2;peräänajo-onnettomuus;toiminnassa;false;false;ajorata;liikennevalot;su;paljas, kuiva;pimeä (valaisematon);12;kirkas;40;;kestopäällyste;;;Ei tasoristeystä;true;;;;;;
617377;Muu;;;;;;241028;6713479;Varsinais-Suomen ELY;Varsinais-Suomi;Turku;VANHA TAMPEREENTIE 108;2022;9;törmäys oik. reunassa olevaan pysäköityyn ajon.;91;Ei henkilövahinkoja;2;muu onnettomuus;;false;false;pysäköintialue tai piha;linjaonnettomuus;su;paljas, kuiva;pimeä (valaisematon);8;kirkas;30;;kestopäällyste;;;Ei tasoristeystä;false;;;;;;
617378;Kunta;;;;;;389399;6679726;Uudenmaan ELY;Uusimaa;Helsinki;RAPAKIVENTIE X LUCINA HAGMANIN KUJA;2022;9;kohtaaminen kaarteessa;21;Loukkaantumiseen johtanut;2;kohtaamisonnettomuus;;true;false;ajorata;linjaonnettomuus;su;paljas, kuiva;tie valaistu;6;kirkas;40;;kestopäällyste;;;Ei tasoristeystä;true;;;;;;
617379;Kunta;;;;;;426563;6759922;Uudenmaan ELY;Päijät-Häme;Lahti;MÄNTSÄLÄNTIE X NÄREKATU;2022;9;pyöräilijä pyörätiellä risteyksessä;41;Loukkaantumiseen johtanut;2;polkupyöräonnettomuus;;false;false;suojatie;kärkikolmio;su;paljas, kuiva;päivänvalo;10;pilvipouta;40;;kestopäällyste;;;Ei tasoristeystä;true;;;;;;
617380;Muu;;;;;;385275;6679597;Uudenmaan ELY;Uusimaa;Helsinki;ALKUTIE 76;2022;9;peruutusonnettomuus;96;Kuolemaan johtanut;5;jalankulkijaonnettomuus;;false;false;pysäköintialue tai piha;linjaonnettomuus;su;paljas, kuiva;päivänvalo;14;kirkas;40;;sora;;;Ei tasoristeystä;true;;;;;;
617381;Väylävirasto;431/4/2234;0;431;4;2234;493181;6837427;Pohjois-Savon ELY;Etelä-Savo;Hirvensalmi;OTAVANTIE;2022;9;suistuminen vas. vasemmalle kääntyvässä kaart.;85;Ei henkilövahinkoja;1;yksittäisonnettomuus;;false;false;ajorata;linjaonnettomuus;la;paljas, kuiva;päivänvalo;3;pilvipouta;100;;kestopäällyste;Ib;Seututie;Ei tasoristeystä;false;1 099;96;100;87;56;
617382;Kunta;;;;;;385984;6672333;Uudenmaan ELY;Uusimaa;Helsinki;MIKONKATU 19 VP;2022;9;jalankulkija suojatiellä risteyksen jälkeen;61;Loukkaantumiseen johtanut;2;jalankulkijaonnettomuus;toiminnassa;false;false;suojatie;liikennevalot;su;paljas, kuiva;tie valaistu;8;kirkas;30;;kestopäällyste;;;Ei tasoristeystä;true;;;;;;
617383;Väylävirasto;11935/1/1425;0;11935;1;1425;456499;6721827;Uudenmaan ELY;Uusimaa;Lapinjärvi;LAPINJÄRVENTIE;2022;9;suistuminen oik. vasemmalle kääntyvässä kaarteessa;84;Loukkaantumiseen johtanut;1;yksittäisonnettomuus;;false;false;ajorata;linjaonnettomuus;su;paljas, kuiva;pimeä (valaisematon);6;kirkas;40;Tieto puuttuu;kestopäällyste;II;Yhdystie;Ei tasoristeystä;false;1 317;46;;;;
617384;Väylävirasto;6/202/5169;0;6;202;5169;492406;6750245;Kaakkois-Suomen ELY;Kymenlaakso;Kouvola;KUUTOSTIE;2022;9;suistuminen tieltä risteyksessä;86;Loukkaantumiseen johtanut;1;yksittäisonnettomuus;;false;false;ajorata;kärkikolmio;su;paljas, märkä;päivänvalo;10;vesisade;80;;kestopäällyste;Ise;Valtatie;Ei tasoristeystä;false;;;100;100;69;
617385;Muu;;;;;;338070;6701545;Uudenmaan ELY;Uusimaa;Lohja;MÄKKYLÄNTIE;2022;9;suistuminen vasemmalle suoralla;81;Loukkaantumiseen johtanut;1;yksittäisonnettomuus;;false;false;ajorata;linjaonnettomuus;su;paljas, kuiva;päivänvalo;13;pilvipouta;80;;sora;;;Ei tasoristeystä;false;;;;;;
617386;Kunta;;;;;;427959;7199252;Pohjois-Pohjanmaan ELY;Pohjois-Pohjanmaa;Kempele;Niittyrannantie;2022;9;peräänajo jarruttavaan ajoneuvoon;6;Ei henkilövahinkoja;2;peräänajo-onnettomuus;;false;false;ajorata;linjaonnettomuus;su;paljas, kuiva;tie valaistu;10;kirkas;40;;kestopäällyste;;;Ei tasoristeystä;true;;;;;;
617387;Kunta;;;;;;641161;6945100;Pohjois-Savon ELY;Pohjois-Karjala;Joensuu;OTSONKATU X PETRANKATU;2022;9;muu risteämisonnettomuus, ei kääntymistä;49;Loukkaantumiseen johtanut;2;polkupyöräonnettomuus;;false;false;ajorata;tasa-arvo;ma;paljas, kuiva;päivänvalo;6;pilvipouta;40;;kestopäällyste;;;Ei tasoristeystä;true;;;;;;
617388;Väylävirasto;5/154/4862;0;5;154;4862;531895;6943820;Pohjois-Savon ELY;Pohjois-Savo;Leppävirta;VT 5, MELÄMÄKI;2022;9;eläinonnettomuus;90;Ei henkilövahinkoja;2;hirvionnettomuus;;true;false;ajorata;linjaonnettomuus;ma;paljas, kuiva;tie valaistu;8;kirkas;100;;kestopäällyste;Is;Valtatie;Ei tasoristeystä;false;;;100;80;40;309
617389;Väylävirasto;697/5/6475;0;697;5;6475;308839;6965078;Etelä-Pohjanmaan ELY;Etelä-Pohjanmaa;Seinäjoki;KUORTANEENTIE;2022;9;eläinonnettomuus;90;Ei henkilövahinkoja;2;hirvionnettomuus;;false;false;ajorata;linjaonnettomuus;ma;paljas, kuiva;päivänvalo;5;kirkas;100;;kestopäällyste;Ib;Seututie;Ei tasoristeystä;false;2 646;213;100;98;86;
617390;Kunta;;;;;;241716;6710430;Varsinais-Suomen ELY;Varsinais-Suomi;Turku;Helsingin valtatie;2022;9;kylkikosketus;4;Ei henkilövahinkoja;0;ohitusonnettomuus;;false;false;ajorata;linjaonnettomuus;ma;paljas, märkä;päivänvalo;9;kirkas;80;;kestopäällyste;;;Ei tasoristeystä;false;;;;;;
617391;Väylävirasto;12/124/1475;0;12;124;1475;306203;6815857;Pirkanmaan ELY;Pirkanmaa;Nokia;Turuntie;2022;9;suistuminen oikealle suoralla;80;Ei henkilövahinkoja;1;yksittäisonnettomuus;;false;false;ajorata;linjaonnettomuus;ma;paljas, kuiva;tie valaistu;6;pilvipouta;80;;kestopäällyste;Is;Valtatie;Ei tasoristeystä;false;;;100;78;46;
617392;Kunta;;;;;;223014;6828355;Varsinais-Suomen ELY;Satakunta;Pori;HALLITUSKATU X SELIM PALMGRENINKATU;2022;9;ajo liikkeelle lähtevään ajoneuvoon;5;Loukkaantumiseen johtanut;2;mopedionnettomuus;;false;false;ajorata;tasa-arvo;ma;paljas, kuiva;päivänvalo;12;kirkas;50;;kestopäällyste;;;Ei tasoristeystä;true;;;;;;
617393;Kunta;;;;;;223786;6827729;Varsinais-Suomen ELY;Satakunta;Pori;PAANAKEDONKATU 10;2022;9;peruutusonnettomuus;96;Ei henkilövahinkoja;3;muu onnettomuus;;false;false;pysäköintialue tai piha;linjaonnettomuus;ma;paljas, kuiva;päivänvalo;8;kirkas;40;;kestopäällyste;;;Ei tasoristeystä;true;;;;;;
617394;Väylävirasto;3002/2/271;0;3002;2;271;297991;6842730;Pirkanmaan ELY;Pirkanmaa;Hämeenkyrö;VALTAKATU;2022;9;kääntyminen vas. vastaantulevan eteen tai kylkeen;30;Loukkaantumiseen johtanut;2;mopedionnettomuus;;false;false;ajorata;linjaonnettomuus;ma;paljas, kuiva;tie valaistu;8;pilvipouta;30;Tieto puuttuu;kestopäällyste;Is;Yhdystie;Ei tasoristeystä;true;6 297;147;83;40;18;
617395;Kunta;;;;;;378290;6734888;Uudenmaan ELY;Kanta-Häme;Riihimäki;Etelän Viertotie X Kulmalan Puistokatu;2022;9;kääntyminen samaan ajosuuntaan;31;Loukkaantumiseen johtanut;2;mopedionnettomuus;;false;false;ajorata;kiertoliittymä;ma;paljas, kuiva;päivänvalo;12;kirkas;50;;kestopäällyste;;;Ei tasoristeystä;true;;;;;;
617396;Väylävirasto;1494/4/341;0;1494;4;341;410190;6706705;Uudenmaan ELY;Uusimaa;Pornainen;JÄRVENPÄÄNTIE X KIRKKOTIE;2022;9;muu törmäys käännyttäessä vasemmalle;13;Ei henkilövahinkoja;2;kääntymisonnettomuus;;false;false;ajorata;linjaonnettomuus;ma;;päivänvalo;8;kirkas;60;Keskustan ohikulku kaava-alueella;kestopäällyste;Ib;Yhdystie;Ei tasoristeystä;false;;;77;24;3;134
617397;Kunta;;;;;;380183;7175602;Pohjois-Pohjanmaan ELY;Pohjois-Pohjanmaa;Raahe;Ratakatu X Asemakatu;2022;9;peräänajo liikenne-esteen takia pysäht. ajoneuvoon;8;Ei henkilövahinkoja;0;peräänajo-onnettomuus;toiminnassa;false;false;ajorata;liikennevalot;ma;paljas, kuiva;tie valaistu;12;kirkas;50;;kestopäällyste;;;Ei tasoristeystä;true;;;;;;
617398;Väylävirasto;25513/12/660;0;25513;12;660;642995;6952350;Pohjois-Savon ELY;Pohjois-Karjala;Kontiolahti;KRUUNUNTIE X KAJAANINTIE;2022;9;pp pyörätiellä, toinen ajoneuvo kääntyi oikealle;15;Ei henkilövahinkoja;2;polkupyöräonnettomuus;;false;false;suojatie;kärkikolmio;ma;paljas, kuiva;päivänvalo;8;pilvipouta;50;Tieto puuttuu;kestopäällyste;Is;Valtatie;Ei tasoristeystä;true;;;;;;
617399;Väylävirasto;1583/2/2521;0;1583;2;2521;462272;6697369;Uudenmaan ELY;Uusimaa;Loviisa;ATOMITIE X HATTNÄSINTIE;2022;9;eläinonnettomuus;90;Ei henkilövahinkoja;2;hirvionnettomuus;;false;false;ajorata;linjaonnettomuus;ma;paljas, kuiva;päivänvalo;10;pilvipouta;80;;kestopäällyste;Ib;Yhdystie;Ei tasoristeystä;false;1 249;43;92;19;0;
617400;Väylävirasto;15290/7/4366;0;15290;7;4366;507683;6942736;Pohjois-Savon ELY;Pohjois-Savo;Suonenjoki;JALKALANTIE 160;2022;9;muu risteämisonnettomuus, ei kääntymistä;49;Ei henkilövahinkoja;2;risteämisonnettomuus;;false;false;ajorata;tasa-arvo;ma;paljas, märkä;hämärä;8;pilvipouta;50;Tieto puuttuu;kestopäällyste;II;Yhdystie;Ei tasoristeystä;true;396;22;96;61;30;
617401;Väylävirasto;12765/1/1137;0;12765;1;1137;209922;6794052;Varsinais-Suomen ELY;Satakunta;Rauma;SORKANMAANTIE;2022;9;kylkikosketus;4;Ei henkilövahinkoja;2;ohitusonnettomuus;;false;false;ajorata;linjaonnettomuus;ma;paljas, kuiva;päivänvalo;13;pilvipouta;60;;sora;III;Yhdystie;Ei tasoristeystä;false;159;12;;;;
617402;Väylävirasto;9/347/967;0;9;347;967;615003;6947025;Pohjois-Savon ELY;Pohjois-Karjala;Liperi;KUOPIONTIE;2022;9;eläinonnettomuus;90;Ei henkilövahinkoja;2;hirvionnettomuus;;false;false;ajorata;linjaonnettomuus;ma;paljas, märkä;tie valaistu;5;pilvipouta;80;Tieto puuttuu;kestopäällyste;Is;Valtatie;Ei tasoristeystä;false;;;100;96;90;
617403;Kunta;;;;;;339323;6819867;Pirkanmaan ELY;Pirkanmaa;Kangasala;Mäkirinteentie X Lentolantie;2022;9;ajo risteäviä ajosuuntia suoraan;40;Ei henkilövahinkoja;0;risteämisonnettomuus;;false;false;ajorata;kärkikolmio;ma;;päivänvalo;10;raesade;50;;kestopäällyste;;;Ei tasoristeystä;true;;;;;;
617404;Kunta;;;;;;338871;6989859;Etelä-Pohjanmaan ELY;Etelä-Pohjanmaa;Alajärvi;HOISKONTIE 10;2022;9;muu onnettomuus;99;Ei henkilövahinkoja;1;muu onnettomuus;;false;false;ajorata;muu risteys;ma;paljas, kuiva;päivänvalo;8;pilvipouta;50;;kestopäällyste;;;Ei tasoristeystä;true;;;;;;
617405;Kunta;;;;;;287503;7067547;Etelä-Pohjanmaan ELY;Pohjanmaa;Jakobstad;STORGATAN TRÄGÅRDSGATAN;2022;9;muu onnettomuus;99;Ei henkilövahinkoja;2;muu onnettomuus;;false;false;ajorata;muu risteys;ma;paljas, kuiva;päivänvalo;10;kirkas;40;;kestopäällyste;;;Ei tasoristeystä;true;;;;;;
