Onnett_id;Osall_id;Osnro;Oslaji;Oslajisel;Peräv;Perävsel;Ajolaji;Ajolajisel;Ajoneuvika;Ajoneuvmas
8292267;14773175;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
8291842;14773176;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;17;1465
8292268;14773177;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;9;1130
8292268;14773178;2;11;polkupyöräilijä;-1;Ei arvoa;-1;Ei arvoa;;
8411450;14989603;2;11;polkupyöräilijä;-1;Ei arvoa;-1;Ei arvoa;;
8411450;14990802;1;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;4;1460
8292270;14773179;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;14;1413
8292270;14773180;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;5;1667
8292272;14773181;1;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;14;1760
8292272;14773182;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
8291312;14773183;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;9;1428
8291312;14773184;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;17;1660
8292273;14773185;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;14;1610
8292273;14773186;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;15;1557
8292274;14773187;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;13;1370
8292274;14773188;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;11;1340
8291479;14773189;1;32;kuorma-auto;2;varsinainen perävaunu;1;ammattimaisessa ajossa;6;12200
8291479;14773190;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;6;1665
8292275;14773191;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;5;2365
8291401;14773192;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;18;1540
8291401;14773193;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;18;1380
8411464;14989138;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;18;1180
8291323;14773194;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;23;1280
8292276;14773195;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;17;1175
8292276;14773196;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;17;1666
8292277;14773197;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
8292277;14773198;2;99;tuntematon kulkuväline;-1;Ei arvoa;-1;Ei arvoa;;
8292277;14773199;3;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
8291537;14773200;1;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;26;1850
8291537;14773201;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;2;1453
8292278;14773277;1;32;kuorma-auto;-1;Ei arvoa;-1;Ei arvoa;8;13500
8292278;14773278;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;7;1394
8291541;14773279;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;5;1268
8292279;14773280;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;22;1600
8292279;14773281;2;10;jalankulkija;-1;Ei arvoa;-1;Ei arvoa;;
8291316;14773282;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;9;1730
8291316;14773283;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;8;1635
8291680;14773284;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;5;1700
8292281;14773285;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;18;1770
8292282;14773286;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;17;1360
8291317;14773287;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;16;1506
8291317;14773288;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;14;1435
8291415;14773289;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;22;1100
8292283;14773290;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;27;1360
8292283;14773291;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;17;1330
