Onnett_id;Osall_id;Osnro;Oslaji;Oslajisel;Peräv;Perävsel;Ajolaji;Ajolajisel;Kulkusuun;Kulkussel;Ajoneuvika;Ajoneuvmas
10215277;18245928;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;
9956212;17777510;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;3;1490
9956212;17777511;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;11;1595
9956213;17777512;1;30;henkilöauto;-1;Ei arvoa;1;ammattimaisessa ajossa;-1;Ei arvoa;4;1527
9956213;17777513;2;50;raitiovaunu;-1;Ei arvoa;1;ammattimaisessa ajossa;-1;Ei arvoa;;
9955709;17777514;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;0;2370
9955709;17777515;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;19;1280
9956215;17777516;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;1;1455
9956215;17777517;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;16;1337
9955825;17777518;1;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;19;1810
9956218;17777519;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;5;1615
9955944;17777520;1;33;linja-auto;-1;Ei arvoa;1;ammattimaisessa ajossa;-1;Ei arvoa;8;14400
9955944;17777521;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;17;1210
9956219;17777522;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;14;1519
9956219;17777523;2;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;1;1955
9956056;17777524;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;2;1375
9956056;17777525;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;17;1734
9956056;17777526;3;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;11;845
9956220;17777527;1;32;kuorma-auto;-1;Ei arvoa;1;ammattimaisessa ajossa;-1;Ei arvoa;3;13160
9956220;17777528;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;1;1081
9956221;17777529;1;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;23;1650
9956221;17777530;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;11;1205
9956101;17777531;1;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;13;1510
9956101;17777532;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;21;1565
9956147;17777533;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;16;1597
9956103;17777534;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;12;1615
9956103;17777535;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;1;1845
9956104;17777536;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;13;1470
9956105;17777537;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;12;1368
9956105;17777538;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;
9956106;17777539;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;6;1915
9956034;17777540;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;23;1205
9956202;17777541;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;16;1565
9956202;17777542;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;
9956108;17776608;2;30;henkilöauto;-1;Ei arvoa;1;ammattimaisessa ajossa;-1;Ei arvoa;5;1320
9956108;17777543;1;30;henkilöauto;-1;Ei arvoa;1;ammattimaisessa ajossa;-1;Ei arvoa;2;1410
