OnnettomuusID;Tienpitäjä;Tieosoite;Ajorata;Tie;Osa;Etaisyys;x-koordinaatti;y-koordinaatti;Liikennevalot;ELY-keskus;Maakunta ;Kunta;Katuosoite;Vuosi;Kuukausi;Onnettomyystyyppi;Onnettomuustyyppi nro;Vakavuus;Osallisten lkm;Onnettomuusluokka;Raskaan liikenteen onnettomuus;Tietyö;Onnettomuuspaikka;Liittymäjärjestelyt;Viikonpäivä;Pinta;Valoisuus;Lämpötila;Sää;Nopeusrajoitus;Verkollinen asema;Päällyste;Talvihoitoluokitus;Toiminallinen luokka korjattu;Rautatie;Taajama;KVL;KVL raskas;Näkemä% yli 150;Näkemä% yli 300;Näkemä% yli 450;Näkemän pituus
625460;Väylävirasto;3/138/751;1;3;138;751;318703;6819940;-;Pirkanmaan ELY;Pirkanmaa;Pirkkala;PYHÄJÄRVENTIE;2023;7;kumoonajo ajoradalla;95;Ei henkilövahinkoja;1;yksittäisonnettomuus;kyllä;ei;ajorata;linjaonnettomuus;su;paljas, kuiva;päivänvalo;22;kirkas;100;-;kestopäällyste;Ise;Valtatie;Ei tasoristeystä;ei;41 934;3 354;;;;
625461;Väylävirasto;146/3/1669;0;146;3;1669;407373;6705480;-;Uudenmaan ELY;Uusimaa;Pornainen;JÄRVENPÄÄNTIE;2023;7;suistuminen vas. vasemmalle kääntyvässä kaart.;85;Loukkaantumiseen johtanut;1;mopedionnettomuus;ei;ei;ajorata;linjaonnettomuus;su;paljas, kuiva;päivänvalo;24;kirkas;80;-;kestopäällyste;Is;Seututie;Ei tasoristeystä;ei;2 989;126;100;81;36;
625462;Väylävirasto;50/6/5723;1;50;6;5723;387067;6686004;-;Uudenmaan ELY;Uusimaa;Vantaa;KEHÄ 3;2023;7;muu peräänajo liikkuvaan ajoneuvoon;7;Loukkaantumiseen johtanut;2;peräänajo-onnettomuus;ei;ei;ajorata;linjaonnettomuus;su;paljas, kuiva;tie valaistu;10;kirkas;80;Keskustan ohikulku kaava-alueella;kestopäällyste;Ise;Kantatie;Ei tasoristeystä;ei;45 489;3 986;100;93;54;
625463;Väylävirasto;12433/1/1000;0;12433;1;1000;250098;6725053;-;Varsinais-Suomen ELY;Varsinais-Suomi;Lieto;AROSUONTIE;2023;7;suistuminen oikealle suoralla;80;Loukkaantumiseen johtanut;1;yksittäisonnettomuus;ei;ei;ajorata;linjaonnettomuus;su;paljas, kuiva;päivänvalo;14;kirkas;80;-;sora;III;Yhdystie;Ei tasoristeystä;ei;97;11;;;;
625465;Väylävirasto;2177/1/6821;0;2177;1;6821;220506;6812000;-;Varsinais-Suomen ELY;Satakunta;Eurajoki;HORMISTONTIE;2023;7;suistuminen oikealle suoralla;80;Loukkaantumiseen johtanut;1;yksittäisonnettomuus;ei;ei;ajorata;linjaonnettomuus;su;paljas, kuiva;päivänvalo;22;kirkas;80;-;kestopäällyste;II;Yhdystie;Ei tasoristeystä;ei;332;30;67;16;1;
625466;Kunta;-;-;-;-;-;447931;6784632;-;;;;TAMPPILAHDENKATU;2023;7;samat ajosuunnat muu törmäys käännyttäessä oikealle;11;Ei henkilövahinkoja;1;yksittäisonnettomuus;ei;ei;ajorata;kärkikolmio;su;paljas, kuiva;päivänvalo;20;kirkas;40;-;kestopäällyste;-;Katu/Yksityistie;Ei tasoristeystä;kyllä;;;;;;
625467;Kunta;-;-;-;-;-;227613;6820490;-;;;;SATAKUNNANTIE;2023;7;suistuminen väistämisen seurauksena;24;Loukkaantumiseen johtanut;2;mopedionnettomuus;ei;ei;ajorata;linjaonnettomuus;la;paljas, kuiva;pimeä (valaisematon);11;kirkas;50;-;kestopäällyste;-;Katu/Yksityistie;Ei tasoristeystä;kyllä;;;;;;
625468;Väylävirasto;453/3/973;0;453;3;973;516350;6913537;-;Pohjois-Savon ELY;Etelä-Savo;Pieksämäki;JÄPPILÄNTIE X KIUKOOMÄENTIE;2023;7;kohtaaminen suoralla;20;Loukkaantumiseen johtanut;2;kohtaamisonnettomuus;ei;ei;ajorata;linjaonnettomuus;su;paljas, kuiva;päivänvalo;19;kirkas;80;-;kestopäällyste;Ib;Seututie;Ei tasoristeystä;ei;1 056;45;79;29;11;
625469;Väylävirasto;3/112/7377;2;3;112;7377;373686;6743896;-;Uudenmaan ELY;Kanta-Häme;Janakkala;Valtatie 3;2023;7;muu tieltä suistuminen;89;Ei henkilövahinkoja;1;yksittäisonnettomuus;ei;ei;ajorata;linjaonnettomuus;su;paljas, märkä;päivänvalo;15;vesisade;120;-;kestopäällyste;Ise;Valtatie;Ei tasoristeystä;ei;23 405;2 272;;;;
625470;Väylävirasto;2/26/1665;0;2;26;1665;305638;6758355;-;Uudenmaan ELY;Kanta-Häme;Humppila;VT-2;2023;7;suistuminen oikealle suoralla;80;Ei henkilövahinkoja;1;yksittäisonnettomuus;ei;ei;ajorata;linjaonnettomuus;su;paljas, kuiva;hämärä;15;pilvipouta;100;-;kestopäällyste;Is;Valtatie;Ei tasoristeystä;ei;5 248;917;100;87;65;
625471;Kunta;-;-;-;-;-;250629;6800501;-;;;;TULKKILANTIE 8 - 10 KOHDALLA;2023;7;jk suojatiellä, suojatie risteyksen ulkopuolella;64;Loukkaantumiseen johtanut;2;jalankulkijaonnettomuus;ei;ei;suojatie;linjaonnettomuus;su;paljas, kuiva;päivänvalo;19;kirkas;40;-;kestopäällyste;-;Katu/Yksityistie;Ei tasoristeystä;kyllä;;;;;;
625473;Väylävirasto;12/217/2197;0;12;217;2197;394306;6769079;-;Uudenmaan ELY;Kanta-Häme;Hämeenlinna;LAHDEN VALTATIE;2023;7;muu tieltä suistuminen;89;Ei henkilövahinkoja;1;yksittäisonnettomuus;ei;ei;ajorata;linjaonnettomuus;su;paljas, kuiva;päivänvalo;20;pilvipouta;100;-;kestopäällyste;Is;Valtatie;Ei tasoristeystä;ei;5 501;610;100;80;46;
625474;Väylävirasto;12191/2/4452;0;12191;2;4452;251205;6707756;-;Varsinais-Suomen ELY;Varsinais-Suomi;Kaarina;LITTOISTENTIE X VARESVUORENTIE;2023;7;muu samat ajosuunnat, ei kääntymistä;9;Loukkaantumiseen johtanut;3;jalankulkijaonnettomuus;ei;ei;ajorata;kärkikolmio;su;paljas, kuiva;päivänvalo;15;kirkas;60;Tieto puuttuu;kestopäällyste;Ib;Yhdystie;Ei tasoristeystä;ei;1 415;118;;;;
625475;Väylävirasto;1361/4/320;0;1361;4;320;369172;6721215;-;Uudenmaan ELY;Uusimaa;Hyvinkää;KYTÄJÄNTIE 1341;2023;7;muu tieltä suistuminen;89;Loukkaantumiseen johtanut;1;yksittäisonnettomuus;ei;ei;ajorata;linjaonnettomuus;su;paljas, kuiva;päivänvalo;20;kirkas;60;-;kestopäällyste;II;Yhdystie;Ei tasoristeystä;ei;728;41;71;30;20;
625476;Kunta;-;-;-;-;-;387221;6685743;-;;;;SILVASTINTIE;2023;7;suistuminen oik. vasemmalle kääntyvässä kaarteessa;84;Ei henkilövahinkoja;1;yksittäisonnettomuus;ei;ei;ajorata;kärkikolmio;ma;paljas, kuiva;päivänvalo;20;kirkas;40;-;kestopäällyste;-;Katu/Yksityistie;Ei tasoristeystä;kyllä;;;;;;
625477;Väylävirasto;11247/1/2388;0;11247;1;2388;360266;6665459;-;Uudenmaan ELY;Uusimaa;Kirkkonummi;PORKKALANTIE 236;2023;7;suistuminen oik. vasemmalle kääntyvässä kaarteessa;84;Loukkaantumiseen johtanut;1;yksittäisonnettomuus;ei;ei;ajorata;linjaonnettomuus;ma;paljas, kuiva;päivänvalo;23;kirkas;60;-;kestopäällyste;Ib;Yhdystie;Ei tasoristeystä;ei;1 585;78;;;;
625478;Väylävirasto;21811/12/186;0;21811;12;186;378903;6677894;ei toiminnassa;Uudenmaan ELY;Uusimaa;Espoo;Kehä I länteen X Turuntie;2023;7;kääntyminen oikealle toisen eteen tai kylkeen;50;Ei henkilövahinkoja;2;risteämisonnettomuus;kyllä;ei;eritasoliittymän ramppi;kärkikolmio;ma;paljas, kuiva;tie valaistu;15;kirkas;50;Tieto puuttuu;kestopäällyste;Is;Seututie;Ei tasoristeystä;ei;3 840;42;;;;
625479;Kunta;-;-;-;-;-;427844;7211951;toiminnassa;Etelä-Pohjanmaan ELY;;;MERIKOSKENKATU;2023;7;kumoonajo ajoradalla;95;Loukkaantumiseen johtanut;1;yksittäisonnettomuus;ei;ei;ajorata;liikennevalot;ma;paljas, kuiva;päivänvalo;15;pilvipouta;50;-;kestopäällyste;-;Katu/Yksityistie;Ei tasoristeystä;kyllä;;;;;;
625480;Kunta;-;-;-;-;-;436248;6905000;-;;;;UKONNIEMENTIE X SEPPÄLÄNTIE;2023;7;pp pyörätiellä, vastakk. ajoneuvo kääntyi oikealle;34;Loukkaantumiseen johtanut;2;polkupyöräonnettomuus;ei;ei;suojatie;kärkikolmio;ma;paljas, märkä;hämärä;16;pilvipouta;50;-;kestopäällyste;-;Katu/Yksityistie;Ei tasoristeystä;kyllä;;;;;;
625481;Väylävirasto;3/116/642;1;3;116;642;363142;6762849;-;Uudenmaan ELY;Kanta-Häme;Hämeenlinna;HELSINKI-TAMPERE MOOTTORITIE;2023;7;kääntyminen vasemmalle toisen eteen tai kylkeen;52;Loukkaantumiseen johtanut;2;risteämisonnettomuus;kyllä;ei;ajorata;linjaonnettomuus;ma;paljas, kuiva;päivänvalo;20;kirkas;100;Keskustan ohikulku kaava-alueella;kestopäällyste;Ise;Valtatie;Ei tasoristeystä;ei;24 838;2 236;;;;
625482;Kunta;-;-;-;-;-;388084;6673904;-;;;;ITÄVÄYLÄ, KALASATAMAN KOHDALLA;2023;7;peräänajo liikenne-esteen takia pysäht. ajoneuvoon;8;Loukkaantumiseen johtanut;3;peräänajo-onnettomuus;ei;ei;silta;linjaonnettomuus;ma;paljas, kuiva;päivänvalo;20;kirkas;50;-;kestopäällyste;-;Katu/Yksityistie;Ei tasoristeystä;kyllä;;;;;;
625483;Väylävirasto;3/103/540;1;3;103;540;381354;6686446;-;Uudenmaan ELY;Uusimaa;Vantaa;TIE 3;2023;7;kaistanvaihto oikealle;2;Ei henkilövahinkoja;2;ohitusonnettomuus;kyllä;ei;ajorata;linjaonnettomuus;ma;paljas, kuiva;päivänvalo;18;kirkas;80;Tieto puuttuu;kestopäällyste;Ise;Valtatie;Ei tasoristeystä;ei;55 379;3 404;;;;
625484;Väylävirasto;19743/1/1253;0;19743;1;1253;438653;7386088;-;Lapin ELY;Lappi;Rovaniemi;NIVANKYLÄNTIE;2023;7;kaistanvaihto oikealle;2;Kuolemaan johtanut;2;ohitusonnettomuus;ei;ei;ajorata;linjaonnettomuus;ma;paljas, kuiva;päivänvalo;12;pilvipouta;50;Tieto puuttuu;kestopäällyste;III;Yhdystie;Ei tasoristeystä;kyllä;180;12;;;;
625485;Kunta;-;-;-;-;-;534881;6973428;-;;;;KIRKKOKATU X KUNINKAANKATU;2023;7;muu risteämisonnettomuus, ei kääntymistä;49;Ei henkilövahinkoja;0;risteämisonnettomuus;ei;ei;ajorata;tasa-arvo;ma;paljas, märkä;päivänvalo;15;pilvipouta;40;-;kestopäällyste;-;Katu/Yksityistie;Ei tasoristeystä;kyllä;;;;;;
625486;Väylävirasto;4/307/2098;1;4;307;2098;432187;6934398;-;Keski-Suomen ELY;Keski-Suomi;Äänekoski;JYVÄSKYLÄNTIE;2023;7;peräänajo jarruttavaan ajoneuvoon;6;Ei henkilövahinkoja;3;peräänajo-onnettomuus;ei;ei;ajorata;linjaonnettomuus;ma;paljas, märkä;päivänvalo;13;vesisade;100;-;kestopäällyste;Ise;Valtatie;Ei tasoristeystä;ei;10 743;2 849;100;78;51;
625487;Väylävirasto;41/9/3122;0;41;9;3122;260734;6742905;-;Varsinais-Suomen ELY;Varsinais-Suomi;Pöytyä;KT 41 X LALLINTIE;2023;7;peräänajo käännyttäessä vasemmalle;12;Loukkaantumiseen johtanut;2;kääntymisonnettomuus;ei;ei;ajorata;kärkikolmio;ma;paljas, kuiva;päivänvalo;21;kirkas;100;Tieto puuttuu;kestopäällyste;Is;Kantatie;Ei tasoristeystä;ei;3 840;513;100;100;81;
