Onnett_id;Osall_id;Osnro;Oslaji;Oslajisel;Peräv;Perävsel;Ajolaji;Ajolajisel;Ajoneuvika;Ajoneuvmas
7161943;12467672;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;13;1070
7161943;12467673;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
7161944;12467674;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;7;1445
7161944;12467675;2;30;henkilöauto;-1;Ei arvoa;1;ammattimaisessa ajossa;1;1372
7161945;12467676;1;30;henkilöauto;3;kevytperävaunu;-1;Ei arvoa;10;1380
7161945;12467677;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;9;1457
7161946;12467678;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;5;1150
7161946;12467679;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;7;1095
7161947;12467680;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;1;2060
7161947;12467681;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;1;1735
7162125;12467682;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;10;1265
7162125;12467683;2;11;polkupyöräilijä;-1;Ei arvoa;-1;Ei arvoa;;
7162126;12467684;1;33;linja-auto;-1;Ei arvoa;-1;Ei arvoa;7;3600
7162126;12467685;2;32;kuorma-auto;-1;Ei arvoa;-1;Ei arvoa;19;21000
7162127;12467688;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;11;1668
7162127;12467689;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;5;1145
7162128;12467690;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
7162128;12467691;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1237
7161922;12467692;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;9;1540
7161922;12467693;2;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;7;1890
7162129;12467694;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;9;1928
7162129;12467695;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;1;1505
7162129;12467696;3;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;9;1343
7162130;12467697;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;5;2090
7162130;12467698;2;30;henkilöauto;-1;Ei arvoa;1;ammattimaisessa ajossa;2;1645
7162131;12467699;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;2;1915
