Onnett_id;Osall_id;Osnro;Oslaji;Oslajisel;Peräv;Perävsel;Ajolaji;Ajolajisel;Ajoneuvika;Ajoneuvmas
8774194;15645442;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;13;1513
8774194;15645443;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;4;1275
8773814;15645444;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;23;1320
8774195;15645445;1;33;linja-auto;-1;Ei arvoa;1;ammattimaisessa ajossa;8;14600
8774195;15645446;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;7;2460
8773837;15645447;1;30;henkilöauto;-1;Ei arvoa;1;ammattimaisessa ajossa;1;1520
8773789;15645448;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;12;1096
8773789;15645449;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;11;1088
8774196;15645450;1;30;henkilöauto;-1;Ei arvoa;1;ammattimaisessa ajossa;3;1465
8774196;15645451;2;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;11;1530
8774197;15645452;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1615
8774198;15645453;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;12;1550
9334835;16669971;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;3;1505
9334835;16669972;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;2;1615
9334836;16669973;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;18;955
9334836;16669974;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;1;1635
8773465;15645454;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;6;1571
8773465;15645455;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;13;1466
8774199;15645456;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;2;1316
8774199;15645457;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;13;1260
8774200;15645458;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;4;1505
8774200;15645459;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;14;1410
8773560;15645460;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;10;1477
8774180;15645461;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;20;1445
8774201;15645462;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;4;1270
8774201;15645463;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;11;1657
8774202;15645464;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;4;1682
8774202;15645465;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1919
8773758;15645466;1;32;kuorma-auto;2;varsinainen perävaunu;1;ammattimaisessa ajossa;3;16100
8773758;15645467;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;16;1646
8774204;15645468;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;5;1925
8774204;15645469;2;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;;
8773769;15645470;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;11;1555
8773769;15645471;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;16;1305
8773727;15645472;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
8773727;15645473;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;15;1735
8773727;15645474;3;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;0;2016
8773727;15645475;4;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;12;1096
8774206;15645476;1;11;polkupyöräilijä;-1;Ei arvoa;-1;Ei arvoa;;
8774206;15645477;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;15;1761
8774207;15645478;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;3;1812
8774207;15645479;3;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;14;1405
8774207;15645480;4;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;10;1270
9334837;16669975;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;2;1845
8774208;15645481;1;10;jalankulkija;-1;Ei arvoa;-1;Ei arvoa;;
8774208;15645482;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;13;1268
8774209;15645483;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;7;1689
8774210;15645484;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1269
8774210;15645485;2;50;raitiovaunu;-1;Ei arvoa;-1;Ei arvoa;;
8774315;15645486;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;12;1655
8774315;15645487;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;9;920
9334838;16669976;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;1;1055
9334839;16669977;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;3;1485
8774316;15645488;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
8774316;15645489;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
8773545;15645490;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;1;1615
8773545;15645491;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;18;1275
8774317;15645492;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;12;1655
8774317;15645493;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
8773990;15645494;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;12;1396
8773990;15645495;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;5;1037
8773990;15645496;3;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;14;1254
8773990;15645497;4;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;11;1279
8773441;15645498;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;10;1520
8773441;15645499;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;18;1480
8774318;15645500;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;3;1271
8774319;15645501;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;15;1524
8774319;15645502;2;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;14;1932
8774320;15645503;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;11;1430
8774320;15645504;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
8774278;15645505;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;12;1910
8774278;15645506;2;33;linja-auto;-1;Ei arvoa;-1;Ei arvoa;10;10650
8774321;15645507;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;13;1295
8774321;15645508;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;8;1575
9334854;16669978;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;10;1590
8774322;15645509;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;18;1193
8774322;15645510;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
8773983;15645511;1;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;9;1865
8773983;15645512;2;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;5;1936
8773983;15645513;3;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;12;1255
8774323;15645514;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;2;1194
8774323;15645515;2;33;linja-auto;-1;Ei arvoa;-1;Ei arvoa;4;2880
8774324;15645516;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;1;1214
8774324;15645517;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
8773780;15645518;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;9;1880
8774325;15645519;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;8;1680
8774325;15645520;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;13;1529
8773696;15645521;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;4;1313
8773696;15645522;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;14;1510
8773696;15645523;3;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;6;1605
8774326;15645524;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;1;1729
8774326;15645525;2;33;linja-auto;-1;Ei arvoa;-1;Ei arvoa;17;13650
8774327;15645526;1;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;1;1361
8773661;15645527;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;10;1604
8773661;15645528;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;13;1195
8773661;15645529;3;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;12;1393
8774328;15645530;1;50;raitiovaunu;-1;Ei arvoa;1;ammattimaisessa ajossa;;
8774328;15645531;2;10;jalankulkija;-1;Ei arvoa;-1;Ei arvoa;;
8774329;15645532;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;3;3095
8774329;15645533;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;3;3095
8774330;15645534;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;9;1317
8774331;15645535;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
8774331;15645536;2;50;raitiovaunu;-1;Ei arvoa;-1;Ei arvoa;;
8774332;15645537;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;3;1251
8774332;15645538;2;32;kuorma-auto;-1;Ei arvoa;-1;Ei arvoa;2;17200
8774333;15645539;1;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;13;1840
8774333;15645540;2;10;jalankulkija;-1;Ei arvoa;-1;Ei arvoa;;
8773736;15645541;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;20;1317
8773736;15645542;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;14;1245
8774334;15645543;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;4;1325
8774335;15645544;1;50;raitiovaunu;-1;Ei arvoa;-1;Ei arvoa;;
8774335;15645545;2;10;jalankulkija;-1;Ei arvoa;-1;Ei arvoa;;
8773995;15645546;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;15;1215
8773996;15645547;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;1;1604
9334840;16669979;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;4;1342
8773521;15645548;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;26;1250
8773521;15645549;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
8774336;15645550;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;15;950
8774336;15645551;2;10;jalankulkija;-1;Ei arvoa;-1;Ei arvoa;;
8774337;15645552;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;11;1380
9334841;16669980;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;3;1458
8774338;15645553;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;1;1435
8774338;15645554;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1360
9334842;16669981;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;3;1554
9334842;16669982;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;15;1490
9334843;16669983;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;4;1355
8774339;15645555;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;4;2264
8774339;15645556;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;8;1430
8774340;15645557;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;4;1885
8774340;15645558;2;10;jalankulkija;-1;Ei arvoa;-1;Ei arvoa;;
8773989;15645559;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;10;1675
8773989;15645560;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;12;1395
8774341;15645561;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;3;1660
8774341;15645562;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;13;1710
8774342;15645563;1;33;linja-auto;-1;Ei arvoa;1;ammattimaisessa ajossa;5;9300
8774342;15645564;2;33;linja-auto;-1;Ei arvoa;1;ammattimaisessa ajossa;9;12100
8774343;15645565;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;;
8774343;15645566;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;7;1690
8774344;15645567;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;14;1150
8774344;15645568;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;3;1592
8774345;15645569;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;4;1345
8773681;15645570;1;32;kuorma-auto;-1;Ei arvoa;-1;Ei arvoa;;
8773681;15645571;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;5;1160
8774346;15645572;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;12;1096
8774347;15645573;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;18;1395
8774347;15645574;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;14;1272
8774348;15645575;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;12;1423
8774348;15645576;2;33;linja-auto;-1;Ei arvoa;1;ammattimaisessa ajossa;5;11935
8774349;15645577;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;5;1375
8774349;15645578;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;10;1565
8772962;15645579;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;2;1300
8772962;15645580;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;11;1445
8774350;15645581;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;1;1605
8774350;15645582;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;18;1953
8774350;15645583;3;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;9;1541
8774351;15645584;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;15;1371
8774351;15645585;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;3;2198
