Onnett_id;Osall_id;Osnro;Oslaji;Oslajisel;Peräv;Perävsel;Ajolaji;Ajolajisel;Kulkusuun;Kulkussel;Ajoneuvika;Ajoneuvmas
9621978;17173988;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;12;1635
9621978;17173989;2;10;jalankulkija;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;
9621357;17173990;1;32;kuorma-auto;1;puoliperävaunu;-1;Ei arvoa;-1;Ei arvoa;;
9621357;17173991;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;12;1580
9621979;17173992;1;30;henkilöauto;-1;Ei arvoa;1;ammattimaisessa ajossa;-1;Ei arvoa;2;1702
9621979;17173993;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;13;1390
9621980;17173994;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;8;2185
9621980;17173995;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;7;1550
9621459;17173996;1;32;kuorma-auto;-1;Ei arvoa;1;ammattimaisessa ajossa;-1;Ei arvoa;;
9621459;17173997;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;27;1515
9621981;17173998;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;14;1210
9621981;17173999;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;13;1130
9621982;17174000;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;10;1350
9621982;17174001;2;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;20;1405
9621982;17174002;3;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;21;1726
9621983;17174003;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;13;2125
9621983;17174004;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;0;1729
9621984;17174005;1;32;kuorma-auto;-1;Ei arvoa;1;ammattimaisessa ajossa;-1;Ei arvoa;1;12600
9621984;17174006;2;10;jalankulkija;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;
9621985;17174007;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;1;1700
9621985;17174008;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;18;1820
9621696;17174009;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;13;1101
9621987;17174010;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;8;1660
9621987;17174011;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;4;1780
9621988;17174012;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;7;1665
9621988;17174013;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;4;1519
9621547;17174014;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;8;1317
9621547;17174015;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;4;1728
9621989;17174016;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;8;1316
9621989;17174017;2;33;linja-auto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;5;2725
9621990;17174018;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;13;1604
9621991;17174019;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;5;1611
9621991;17174020;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;15;1415
9621992;17174021;1;10;jalankulkija;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;
9621992;17174022;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;1;1410
9621993;17174023;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;3;1121
9621993;17174024;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;7;1668
9621994;17174025;1;50;raitiovaunu;-1;Ei arvoa;1;ammattimaisessa ajossa;-1;Ei arvoa;;
9621994;17174026;2;10;jalankulkija;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;
9621538;17174027;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;15;1280
9621538;17174028;2;30;henkilöauto;-1;Ei arvoa;2;hälytysajossa;-1;Ei arvoa;3;1354
9621995;17174029;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;20;1435
9621995;17174030;3;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;15;1470
9621995;17174031;4;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;19;1425
9621997;17174032;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;9;2460
9621997;17174033;2;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;6;2252
9621998;17174034;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;14;1420
9621998;17174035;2;30;henkilöauto;3;kevytperävaunu;-1;Ei arvoa;-1;Ei arvoa;1;2139
9621999;17174036;1;30;henkilöauto;-1;Ei arvoa;1;ammattimaisessa ajossa;-1;Ei arvoa;0;1575
9622000;17174037;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;9;2185
9621883;17174038;1;31;pakettiauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;7;2411
9621883;17174039;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;11;1659
9621883;17174040;3;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;5;1310
9621782;17174041;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;;
9621782;17174042;2;30;henkilöauto;-1;Ei arvoa;1;ammattimaisessa ajossa;-1;Ei arvoa;5;1503
9621463;17174043;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;19;1235
9622001;17174044;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;17;1785
9622001;17174045;2;33;linja-auto;-1;Ei arvoa;1;ammattimaisessa ajossa;-1;Ei arvoa;12;12370
9621558;17174046;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;-1;Ei arvoa;18;1245
