OnnettomuusID;Tekninen osallinen ID;Osallisen numero;Osallisen lajikoodi;Perävaunukoodi;Ajolaji;Ajoneuvon ikä;Ajoneuvon massa
620632;9f4ee38d15a14e9d44af9c225daee893;1;Henkilöauto;Ei tietoa/arvoa;-;5;1815
620632;a6ca84ab0737934f67ceafdc2275ec3e;2;Henkilöauto;Ei tietoa/arvoa;-;-;-
620633;7b649af521afbd29c258be6e5645157c;1;Kuorma-auto;Ei tietoa/arvoa;-;16;18600
620634;7f89dcf0525ee5db0ce160fc9ba3b169;1;Henkilöauto;Ei tietoa/arvoa;-;4;1631
620634;79493c49bacdf1bcf9e3923c3c3f56c7;2;Henkilöauto;Ei tietoa/arvoa;-;15;1263
620635;9e136b27245afb5a4087adf77e70b9c2;1;Henkilöauto;Ei tietoa/arvoa;-;19;1180
620635;e6a722adf28bb17ba44e8889601eab05;2;Hirvi;Ei tietoa/arvoa;-;-;-
620636;4d56ca38c1d805595a20402272ade6ee;2;Henkilöauto;Ei tietoa/arvoa;-;8;1592
620636;503107836664786d871a451b252f9e41;1;Henkilöauto;Ei tietoa/arvoa;-;14;1122
620637;31ff164f582b539a221aac78d2e1c4cc;2;Henkilöauto;Ei tietoa/arvoa;-;23;1660
620637;d0153a11bfb920be25df0dbfadb2522d;1;Henkilöauto;Ei tietoa/arvoa;-;4;1560
620638;a04bd12aec495d15fcb15907704f0ca5;1;Henkilöauto;Ei tietoa/arvoa;-;15;1123
620639;d13d02fabea4197996289f9581ed9547;1;Henkilöauto;Ei tietoa/arvoa;-;14;1505
620640;9ace203c6d73ad64b2178cb614cfff14;1;Henkilöauto;Ei tietoa/arvoa;-;13;1372
620640;23f311164953fd7f2ee4ebfba56e0fa4;3;Pakettiauto;Ei tietoa/arvoa;-;18;2032
620640;35eac6b7d816e26f0580bdf0e98a0bd1;4;Henkilöauto;Ei tietoa/arvoa;-;10;1503
620641;;-;-; ;-;-;-
620642;5dee57764921c47181137cd2cc9d980c;1;Henkilöauto;Ei tietoa/arvoa;-;23;1565
620643;1e0bcc7eb3f1c9503d20d9bdec359f6d;1;Henkilöauto;Ei tietoa/arvoa;-;4;1185
620643;d5681b40a384bf3119c2b98d4a099f80;2;Henkilöauto;Ei tietoa/arvoa;-;23;1285
620644;87274be320c09a9dd23616e9c83665fa;2;Henkilöauto;Ei tietoa/arvoa;-;12;1365
620644;f253e20e168860a29dae557ae86f3261;1;Pakettiauto;Ei tietoa/arvoa;-;6;1281
620645;19f0bf487cb5664b473b7ae0078cef68;1;Kuorma-auto;Varsinainen;-;10;9535
620646;a8263eeecc2eb9ffed1421b82828836c;1;Kuorma-auto;Ei tietoa/arvoa;1;18;13500
620646;c336cb5e6a35f05c34ae710bb3789987;3;Kuorma-auto;Ei tietoa/arvoa;1;0;13900
620646;f73aca0f1c3a796e2849fed1facf7313;2;Henkilöauto;Ei tietoa/arvoa;-;11;1569
620647;d0ffb00971e7448165a273de0e684b23;2;Muu moottorikäyttöinen ajoneuvo, mopoauto eli kevyt nelipyörä (KNP);Ei tietoa/arvoa;-;11;382
620647;d6c4dbf4f00c617e7dac154f9fb047ba;1;Henkilöauto;Ei tietoa/arvoa;-;21;1205
620649;8d86ac407a6d3ac882c2a01254670db5;1;Henkilöauto;Ei tietoa/arvoa;-;13;1845
620649;450fbe3b3166c16fd1582a091dbf373b;2;Kuorma-auto;Ei tietoa/arvoa;-;2;7588
620650;80c09d5617fd825e1f2938210b3c7bf4;2;Pakettiauto;Ei tietoa/arvoa;-;10;1972
620650;cdaa9826058876007505c3f6cab0c599;1;Henkilöauto;Ei tietoa/arvoa;-;1;1196
620651;a4c195504c3f677e26ffd4f73ac7236f;2;Henkilöauto;Ei tietoa/arvoa;-;5;2890
620651;ebe155851bb3c07f9de18e3f8f82be15;1;Henkilöauto;Ei tietoa/arvoa;-;3;1815
620652;8993fcddd57f634ccca404687d64f6e4;1;Henkilöauto;Ei tietoa/arvoa;-;18;1380
620653;7cab2e189efa2aed1da0138713af4739;2;Henkilöauto;Ei tietoa/arvoa;-;19;1290
620653;681d4d7abb0806e5ae2dc1ed23f6853c;1;Henkilöauto;Ei tietoa/arvoa;-;5;1615
620654;0d6615831cc2cae941e617a3f03d6cbe;2;Henkilöauto;Ei tietoa/arvoa;-;5;1592
620654;ec3db947f8e77827f00e2fa5b4f1aace;1;Henkilöauto;Ei tietoa/arvoa;-;3;1395
620656;aef57b0d7832eaebbbb0a4cea419631a;2;Hirvi;Ei tietoa/arvoa;-;-;-
620656;f186f727b85af615c320aa0f0f01dd42;1;Henkilöauto;Ei tietoa/arvoa;-;2;1473
620657;7571b38de79004e340d616796c532064;1;Moottorikelkka;Ei tietoa/arvoa;-;5;354
620659;00de10fb2a9cfd80d848f932bb01623b;1;Pakettiauto;Kevytperävaunu;-;17;1535
620660;96c43833a71fbfa78e31a850800577b3;1;Henkilöauto;Ei tietoa/arvoa;-;10;1565
620661;98dbe1d1614a616b6fcbb364a869122e;1;Pakettiauto;Ei tietoa/arvoa;-;17;1940
620661;c5d532c9a79b96581dfe1a52f7798cd5;2;Hirvi;Ei tietoa/arvoa;-;-;-
620662;6098b5413fd69f08c4057f7fc1209b54;1;Henkilöauto;Ei tietoa/arvoa;-;-;-
620665;;-;-; ;-;-;-
620666;;-;-; ;-;-;-
620667;aac8d63ca88d67279ad79e4df6744eec;1;Henkilöauto;Ei tietoa/arvoa;-;20;1320
620668;6390a27a9b99eb6bd010eee0135c26a1;1;Henkilöauto;Ei tietoa/arvoa;-;16;1415
620668;38165c1c2c2c2ebb91093476331ff73c;2;Kuorma-auto;Ei tietoa/arvoa;-;11;7750
620669;8b31413ee70f3c566ce273c588e2ae76;3;Henkilöauto;Ei tietoa/arvoa;-;26;1140
620669;70c73d8569145b33f87bc3d0ae33145c;1;Henkilöauto;Ei tietoa/arvoa;-;20;1104
620669;43770bc793fb63cea70cff8065c7e1c5;2;Pakettiauto;Ei tietoa/arvoa;-;11;1390
620670;a08ef8a20efdd5bf4555a49a9baa3ed6;1;Traktori;Ei tietoa/arvoa;-;55;2120
620670;d5c63cb210be8267365a6720142eec6c;2;Henkilöauto;Ei tietoa/arvoa;-;6;1603
620671;38c111ae9f7650e6df411439bea0c14e;1;Henkilöauto;Ei tietoa/arvoa;-;19;1445
620672;88b02537c240adc9ee7e0699137e0876;1;Henkilöauto;Ei tietoa/arvoa;-;30;1500
620672;ab472d5e6ba35dabd6bbefacc109dc56;3;Muu kulkuneuvo;Ei tietoa/arvoa;-;-;-
620673;34e9e5282687b272f400e9a6cd4d7c6c;1;Henkilöauto;Ei tietoa/arvoa;-;4;1645
620673;44c0013ca1f179fa059c783c60b75af2;2;Kuorma-auto;Varsinainen;1;0;13250
620674;34a6c0c109f652f1a97939540f56f7a1;1;Henkilöauto;Ei tietoa/arvoa;-;15;1032
620675;fa1c256c7fba2f9afa3be6a587e9d8e9;2;Henkilöauto;Ei tietoa/arvoa;-;15;1692
620676;418c8dd37dd3a19328bc5e1fe2efa773;3;Henkilöauto;Ei tietoa/arvoa;-;-;-
620676;5669478beb4da4a31a80503fae24c48d;1;Kuorma-auto;Varsinainen;1;6;13880
620677;5ec5cb92d61b3b0958d48574da1ed606;2;Kuorma-auto;Ei tietoa/arvoa;-;8;13350
620677;cfb57025717df2e55f421c1e9f70ac41;1;Henkilöauto;Ei tietoa/arvoa;-;13;1791
620678;34d2a6ed67185fa648eecea7f10e665b;1;Henkilöauto;Ei tietoa/arvoa;-;17;1100
620678;ea1a0433bb1245858f49100330a328a8;2;Henkilöauto;Ei tietoa/arvoa;-;9;1557
620679;5ac3dcb798fef1493c1fa5cc9afba7d2;2;Henkilöauto;Ei tietoa/arvoa;-;20;1378
620679;80afe8388a8fd18c1bef58d31a91e2b4;3;Henkilöauto;Ei tietoa/arvoa;-;7;1235
620679;297ed0b38287d1dcb9f3877b270583a8;1;Henkilöauto;Ei tietoa/arvoa;-;14;1350
620680;4c276535d85831f122b145c8c2ed3c52;1;Henkilöauto;Ei tietoa/arvoa;-;28;1490
620680;7ef4f7c41f3c9c9dd5cac8a90f0cdb2a;2;Hirvi;Ei tietoa/arvoa;-;-;-
620681;54aabff11b424136289aaef3cc0241e0;1;Mopedi, skootteri;Ei tietoa/arvoa;-;12;91
620681;bec59e19bfc2bd315cb1ee734198688f;2;Henkilöauto;Ei tietoa/arvoa;-;2;1554
620682;2129abcbc4a8e154575bd06753b8ab3d;2;Hirvi;Ei tietoa/arvoa;-;-;-
620682;555856a690a936b0075ef732e808b80f;1;Henkilöauto;Ei tietoa/arvoa;-;16;1575
620684;5f4ea4e315ea200ad2d354cf1d21b136;2;Hirvi;Ei tietoa/arvoa;-;-;-
620684;a4d05eab2a19af0e00e40ee2341206fb;1;Henkilöauto;Ei tietoa/arvoa;-;7;1486
620685;be6ef7bd8b8b68785b7d5f9918d8227f;2;Henkilöauto;Ei tietoa/arvoa;-;21;1245
620685;f47ba72ecf1e412ab6bc27105ef73b1c;1;Henkilöauto;Ei tietoa/arvoa;-;7;1893
620686;2fb2b52654e4c849ab85f18219c088e5;2;Henkilöauto;Ei tietoa/arvoa;-;16;1780
620686;9ade09002f4f6ea2a21938354040959b;1;Henkilöauto;Ei tietoa/arvoa;-;8;1917
620687;6d06cc1facc4c00629c8717763e291bf;1;Henkilöauto;Ei tietoa/arvoa;-;17;1810
620688;;-;-; ;-;-;-
620689;817880389b3b30ca409985c0ca26487a;1;Henkilöauto;Ei tietoa/arvoa;-;13;1550
620690;2ce199576f9d274007cba16ed3a79d66;1;Henkilöauto;Ei tietoa/arvoa;-;9;1416
620690;69908901c349c51ca7e4a6b0a9a93bd1;2;Jalankulkija;Ei tietoa/arvoa;-;-;-
620691;6bf88afb549efca67a9499b7919b4681;3;Henkilöauto;Ei tietoa/arvoa;1;6;1890
620691;ebd79aec2122fff67b4f3bfed06e04b0;4;Henkilöauto;Ei tietoa/arvoa;-;13;1615
620692;4d2c3d172d6ac851905caa13142b2e6b;2;Henkilöauto;Ei tietoa/arvoa;-;28;1040
620692;ac17b7f2e2d87aec79d35dedaccf4db1;1;Henkilöauto;Ei tietoa/arvoa;-;7;1794
620693;0a35e748814dcb95e72e5bbea6093044;1;Henkilöauto;Ei tietoa/arvoa;-;1;1716
620693;64ada30626b637909013500ced8b3be5;2;Moottorikelkka;Ei tietoa/arvoa;-;10;340
620694;;-;-; ;-;-;-
620695;57a68d4c87c0c754ae64c47a6320fdca;2;Henkilöauto;Ei tietoa/arvoa;-;8;1485
620695;ef7f7e5b583fdc567f40426244d99a74;1;Kuorma-auto;Ei tietoa/arvoa;-;4;9900
620696;bf440ddbf257b5100213c7b6b6fc0730;1;Henkilöauto;Ei tietoa/arvoa;-;17;1720
620696;f959a73a7f92dcad9e2f52ae68dbf748;2;Henkilöauto;Ei tietoa/arvoa;-;20;1163
620697;8c89cde22b93be1429780a211bf2e57f;2;Hirvi;Ei tietoa/arvoa;-;-;-
620697;23e7a160c6d178c7ec065514e8e4c06d;1;Kuorma-auto;Ei tietoa/arvoa;1;-;-
620698;26de4c1acac851bfe5d137beccd55538;1;Henkilöauto;Ei tietoa/arvoa;-;20;1180
620699;7be2d557ca625d5a1989dec85807fac6;1;Henkilöauto;Ei tietoa/arvoa;-;5;1700
620701;0ed183bf564bfdc17758dd8d04524944;1;Henkilöauto;Ei tietoa/arvoa;-;6;1280
620701;3533e5fba23dd1500df4018bb4d3d0a3;2;Henkilöauto;Ei tietoa/arvoa;-;14;1855
620702;95aeab5d6cf5fe5ec4f913b63981f891;2;Pakettiauto;Ei tietoa/arvoa;-;19;1770
620702;13317550820b9f9375f51838d86c5816;1;Traktori;Ei tietoa/arvoa;-;3;639
620703;b27f4605d677155e381fd4ff288b5ee7;2;Henkilöauto;Ei tietoa/arvoa;-;9;2120
620703;cd27b98a84bd014079ff3af79d50702f;1;Pakettiauto;Ei tietoa/arvoa;-;6;2016
620705;;-;-; ;-;-;-
620706;3a971cf92bf86a5157fff7e26d98eb79;1;Hirvi;Ei tietoa/arvoa;-;-;-
620706;b6c40407ab894c81a8d1775786a29e66;2;Kuorma-auto;Ei tietoa/arvoa;-;1;3225
620707;ed5012ed34e11f0a63ac7a59fb3bf8ab;1;Henkilöauto;Ei tietoa/arvoa;-;11;1821
620708;;-;-; ;-;-;-
620709;;-;-; ;-;-;-
620710;1d640846c05c47aae7408f993dafc98a;1;Henkilöauto;Ei tietoa/arvoa;-;13;1610
620711;b6305cd84256efba029a880b2e40db93;1;Henkilöauto;Ei tietoa/arvoa;-;16;1440
620712;375a314055d80df5ec2ad43460db7d99;1;Hirvi;Ei tietoa/arvoa;-;-;-
620712;7739015008d8c6a755a6b9031f68f206;2;Henkilöauto;Kevytperävaunu;-;6;1733
620713;352db95f475e3c57bb1ba061a753fadc;1;Henkilöauto;Ei tietoa/arvoa;-;18;1360
620713;76729125e7939512662c7440fa4c2e75;2;Henkilöauto;Ei tietoa/arvoa;-;22;1352
620714;9662bf902f55aadb422f96025c43f8cf;1;Henkilöauto;Ei tietoa/arvoa;-;23;1537
620715;276f323a9b8cef08958c0b735702094d;1;Henkilöauto;Ei tietoa/arvoa;-;-;-
620715;f1d4c281713087d431eb6c0783e9fbcd;2;Henkilöauto;Ei tietoa/arvoa;-;-;-
620716;505dc208f2b2438060b1ade4133551ff;1;Pakettiauto;Ei tietoa/arvoa;-;19;1500
620717;ca2cd09b18ea216b94e2f23faa7cb206;1;Henkilöauto;Ei tietoa/arvoa;2;4;1677
620718;b6d83bad11da8e9d13b0446aec6174d0;1;Henkilöauto;Ei tietoa/arvoa;-;17;1435
620720;22a8d0e6dba2e2e2b70e5fbd0c46695c;1;Henkilöauto;Ei tietoa/arvoa;-;2;2015
620721;69fff7cf1c906edd3964a289fd10ad93;1;Henkilöauto;Ei tietoa/arvoa;-;14;1360
620721;ef712f655240c2f739be6dc2c69a12e7;2;Henkilöauto;Ei tietoa/arvoa;-;20;1381
620722;c421093449e84c93bcc604870a3adf47;1;Traktori;Ei tietoa/arvoa;-;10;5070
620722;e3bb63027547ab03be8a460b1ed6c38f;2;Henkilöauto;Ei tietoa/arvoa;-;14;1597
620723;;-;-; ;-;-;-
620724;343f3c74c5973205a95832c1a8a6e628;1;Henkilöauto;Ei tietoa/arvoa;-;5;1135
620724;b6dd9d2bdff9c6b9ce20dbde66265c7b;2;Henkilöauto;Ei tietoa/arvoa;-;17;1385
620725;b52d2defa5dd9ea83fcee333dc531c83;1;Henkilöauto;Ei tietoa/arvoa;-;16;2020
620726;;-;-; ;-;-;-
620727;741fe8465f6cd705dc62518ff2ceee05;1;Henkilöauto;Ei tietoa/arvoa;-;24;1385
620727;f72130f68400dd8719156961d0f8c65f;2;Henkilöauto;Ei tietoa/arvoa;-;8;1805
620728;40bd06e3846a6fa4c802d2689d2da508;2;Henkilöauto;Ei tietoa/arvoa;-;13;-
620728;71acc2f9e2d0ccdd67fedec74e518e40;3;Henkilöauto;Ei tietoa/arvoa;-;6;1453
620729;83e150883f529f8a503c6254240b49b2;1;Mopedi, skootteri;Ei tietoa/arvoa;-;23;90
620730;190d5ba3fa559c1ffe6c605ffe8a6308;2;Hirvi;Ei tietoa/arvoa;-;-;-
620730;bbd8b4b49b88af61dd9b4eeb47c5135f;1;Henkilöauto;Ei tietoa/arvoa;-;5;1445
620731;6f83c7054373781f3b03653985283a74;2;Kuorma-auto;Ei tietoa/arvoa;-;2;14705
620731;fc36768469c3b537ac95a3638e055a75;1;Traktori;Ei tietoa/arvoa;-;3;7300
620732;6b8b48953d87c03e60390fd91275b750;1;Henkilöauto;Ei tietoa/arvoa;-;20;1180
620733;4fffe6a344c6607a6b85665075045c1c;1;Kuorma-auto;Varsinainen;-;11;9950
620734;7c68938d21e5681b6e2db2cc5da07f53;1;Henkilöauto;Ei tietoa/arvoa;-;16;1640
620734;251aeffca52703dd81c5063935ec23e3;2;Henkilöauto;Ei tietoa/arvoa;-;8;1280
620735;;-;-; ;-;-;-
620736;b52b95085ddcdcdb7af343d48b5dde06;1;Henkilöauto;Ei tietoa/arvoa;-;19;1130
620737;3bf2387e10d46eb9693aec831e4ce633;2;Linja-auto;Ei tietoa/arvoa;-;2;12184
620737;371b71a7695732ec0d34e81289f1b001;1;Henkilöauto;Ei tietoa/arvoa;-;17;1080
620738;dca3848617ac945d13ec95cd2d1b8e42;1;Henkilöauto;Ei tietoa/arvoa;-;17;1885
620739;;-;-; ;-;-;-
620740;5efadb83d8738f6c56d673a7d872715e;2;Muu eläin;Ei tietoa/arvoa;-;-;-
620740;1278f3679e0a5483b4ffcbf6431c1132;1;Henkilöauto;Ei tietoa/arvoa;-;2;2169
620741;31b06f168ffb03a07dcfa9699cfe73fd;1;Henkilöauto;Ei tietoa/arvoa;-;1;2120
620741;3298d1cf3207379052b2cbce54addbbf;2;Pakettiauto;Ei tietoa/arvoa;-;2;2153
620742;420475f196f0144c6d44bbc2acf7b0cf;2;Henkilöauto;Ei tietoa/arvoa;-;17;1370
620742;56718871c389b5a8db3b40bc2fe196e4;1;Henkilöauto;Ei tietoa/arvoa;-;21;950
620743;11e185667d708dc8e8a784bf94e8e658;2;Henkilöauto;Ei tietoa/arvoa;-;4;1574
620743;673bc81b5ee0f08a5d0bbad5f16fa10e;1;Henkilöauto;Ei tietoa/arvoa;-;24;1145
620744;169ff08519e1adecf1a8a295db289cf5;1;Henkilöauto;Ei tietoa/arvoa;-;10;1654
620744;a612f59ae98c18a1327d723749331b9a;2;Henkilöauto;Ei tietoa/arvoa;-;25;1315
