OnnettomuusID;Tekninen osallinen ID;Osallisen numero;Osallisen lajikoodi;Perävaunukoodi;Ajolaji;Ajoneuvon ikä;Ajoneuvon massa
610052;8e833fe51cf3e3b602853d915a6193c7;2;Peura, Kauris;;;;
610052;bc558544704e13d94ec6dfae12d8dfd4;1;Henkilöauto;;;9;2600
610054;;;;;;;
610055;b3c7bd245243f7b2baeee36a87a8d7ab;1;Henkilöauto;;;31;1260
610055;bb9d62f6ff543219adbe8d41333793cb;2;Henkilöauto;;;19;
610056;9cfad7cb1958ca8d92af15914393c117;1;Henkilöauto;;;14;
610057;0d9ce7c7a83fceb075853a8833f72351;1;Henkilöauto;;;11;1692
610057;2623190b32cf49e85ff97d103147f830;2;Henkilöauto;;;15;
610058;477c8a5cb827e8fdf30ff5d489663ddd;2;Hirvi;;;;
610058;0619b1feec9a2aab79d48debee344a4a;1;Henkilöauto;;;0;2030
610059;3d5f709240af5b7b92982b336a22c735;2;Henkilöauto;;;18;
610059;39e5852ac5f8f0a9e7cdde3491b6ce2d;1;Henkilöauto;;;15;2910
610060;112fdb1a1004d1ab0843415dffa0abdb;1;Henkilöauto;;;27;920
610061;1847d0160a99dec750d0cd303bf9a47b;1;Henkilöauto;;;18;1710
610062;87edafccde4575087b9c69bae2f731cd;1;Henkilöauto;;;;
610063;a1f670884082d80be31b8e1e5ec6331e;1;Henkilöauto;;;16;1275
610064;ab16529678a126a1c2927606724682f6;1;Henkilöauto;;;10;1033
610064;dd5feb6f6da246fe998b8296975a2431;2;Henkilöauto;;;19;965
610065;9b2c4d9a4eae40e1e94130606cc66610;2;Henkilöauto;;;9;1305
610065;437f62a253ca15b64f03970cb05f376d;1;Henkilöauto;;;6;1168
610066;a660d4ddca1c3ec9309090a20b98b258;1;Henkilöauto;;;0;1985
610066;fef859481344ae1fc565cad0667706d4;2;Henkilöauto;;;9;1985
610067;368d4c2c524e2b32966df73a6debfbaf;1;Henkilöauto;;;5;2305
610068;4e2a1a82854c6f719edaa26d99fa681d;2;Henkilöauto;;;2;
